2013 Field Season																										
Plot	Species	Sex	Weight	Date Collected																						
1	DM	M	Null	7/16/13																						
1	DO	M	45	12/10/13																						
2	DM	F	Null	7/16/13																						
3	DM	M	Null	7/16/13																						
3	DM	M	40g	7/18/13																						
3	DO	F	33	10/17/13																						
3	DO	F	50	10/17/13																						
4	DM	F	29g	7/18/13																						
4	DS	F	107	11/13/13																						
4	DS	F	115	11/13/13																						
6	DM	F	37g	7/18/13																						
7	DM	M	33g	7/16/13																						
7	DM	M	48g	7/18/13																						
8	DO	F	52	8/19/13																						
8	DO	F	41	12/11/13																						
9	DS	F	117	11/12/13																						
9	DO	F	40	12/10/13																						
11	DS	F	126	11/13/13																						
11	DS	F	122	11/13/13																						
14	DS	F	113*	11/13/13																						
17	DS	M	132*	11/13/13																						
Note: * indicates scale not calibrated																										
2014 Field Season																										
Plot	Species	Sex	Weight	Date Collected																						
1	DM	M	40	1/9/14																						
1	DM	F	36	1/9/14																						
1	DM	F	51	3/13/14																						
1	DM	F	44	3/13/14																						
1	DS	F	146	3/13/14																						
2	NA	Null	Null	1/8/14																						
2	DM	M	44	1/8/14																						
2	PF	F	7	1/8/14																						
2	DM	M	45	1/8/14																						
2	OT	Null	Null	1/8/14																						
2	DS	M	157*	1/8/14																						
2	OX	Null	Null	1/8/14																						
2	NA	M	218*	2/18/14																						
2	PF	F	7	2/18/14																						
2	DM	M	52	2/18/14																						
3	PF	M	8	3/11																						
3	NA	F	Null	4/8																						
3	Null	Null	Null	5/6																						
3	NA	F	182	5/18																						
3	OT	F	29	6/9																						
3	NA	F	115	7/8																						
3	NA	M	190	7/8																						
4	DM	F	37	1/8/78																						
4	DM	M	Null	1/8/78																						
4	DM	F	48	1/8/78																						
4	DO	M	52	1/8/78																						
4	OL	M	35	1/8/78																						
Note: * indicates scale not calibrated																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										